* 통계표명 :,월별_매입자거주지별_아파트매매거래_동호수,,,,,,,,,,,,,,,,
* 수록기간 :,2019년 12월 ~ 2021년 01월,,,,,,,,,,,,,,,,
* 조회기간 :,2019년 12월 ~ 2021년 01월,,,,,,,,,,,,,,,,
* 출처 :,국토교통부,,,,,,,,,,,,,,,,
* 자료다운일자 :,2021.03.09 21:51:48,,,,,,,,,,,,,,,,
* 단위 :,"동(호)수,천㎡",,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
지 역,,,매입자거주지,2019년 12월,2020년 01월,2020년 02월,2020년 03월,2020년 04월,2020년 05월,2020년 06월,2020년 07월,2020년 08월,2020년 09월,2020년 10월,2020년 11월,2020년 12월,2021년 01월
,,,관할시군구내,352,213,202,165,123,189,290,404,214,275,343,542,152,78
,,,관할시도내,319,228,187,162,112,163,263,422,168,222,299,569,167,81
,,,관할시도외_서울,13,6,4,8,2,2,7,16,4,12,14,15,15,9
,,,관할시도외_기타,140,61,53,40,20,37,94,118,77,102,75,147,54,11
,남구,,합계,733,618,461,464,284,363,718,795,369,433,739,1285,443,235
,,,관할시군구내,372,263,294,311,177,208,481,461,240,268,473,643,221,131
,,,관할시도내,192,239,111,111,82,86,146,221,93,113,190,480,159,76
,,,관할시도외_서울,25,71,6,7,2,3,8,18,5,6,14,25,6,2
,,,관할시도외_기타,144,45,50,35,23,66,83,95,31,46,62,137,57,26
,북구,,합계,675,408,445,352,258,327,584,686,305,417,469,1414,917,261
,,,관할시군구내,423,271,286,208,143,227,360,415,199,289,288,796,467,130
,,,관할시도내,114,78,91,73,70,56,129,149,63,80,99,387,263,70
,,,관할시도외_서울,5,1,6,4,4,0,7,13,3,3,3,27,24,5
,,,관할시도외_기타,133,58,62,67,41,44,88,109,40,45,79,204,163,56
,해운대구,,합계,1534,945,673,587,447,547,1247,2011,790,1055,1467,2984,660,333
,,,관할시군구내,845,568,351,312,250,289,602,1067,384,570,780,1483,296,156
,,,관할시도내,365,206,180,180,123,137,335,580,260,319,415,962,233,101
,,,관할시도외_서울,62,31,22,14,10,16,28,45,15,26,44,86,23,11
,,,관할시도외_기타,262,140,120,81,64,105,282,319,131,140,228,453,108,65
,사하구,,합계,599,366,393,352,313,372,537,587,362,417,573,1237,1345,348
,,,관할시군구내,440,236,282,256,215,240,292,359,236,278,363,708,718,212
,,,관할시도내,88,73,68,64,74,71,114,145,82,105,135,343,374,92
,,,관할시도외_서울,5,11,4,4,1,9,5,10,4,5,6,41,45,4
,,,관할시도외_기타,66,46,39,28,23,52,126,73,40,29,69,145,208,40
,금정구,,합계,423,345,287,319,377,234,334,473,289,389,515,1029,543,173
,,,관할시군구내,253,219,178,227,163,150,215,268,175,229,282,553,283,86
,,,관할시도내,100,70,73,54,185,60,84,131,74,110,148,311,161,54
,,,관할시도외_서울,8,7,2,6,0,2,2,6,4,7,10,11,6,1
,,,관할시도외_기타,62,49,34,32,29,22,33,68,36,43,75,154,93,32
,강서구,,합계,254,185,154,100,84,113,372,400,195,249,274,963,417,94
,,,관할시군구내,132,97,80,49,41,57,113,206,105,155,164,526,195,37
,,,관할시도내,78,56,52,29,29,38,95,92,56,58,61,245,132,36
,,,관할시도외_서울,1,1,1,4,0,1,14,7,1,1,2,9,4,0
,,,관할시도외_기타,43,31,21,18,14,17,150,95,33,35,47,183,86,21
,연제구,,합계,531,366,364,295,206,218,405,768,311,402,505,1038,312,184
,,,관할시군구내,219,131,127,119,91,105,166,282,130,174,215,407,135,94
,,,관할시도내,255,174,171,134,88,85,190,377,140,167,224,489,133,68
,,,관할시도외_서울,6,7,14,7,3,5,1,13,6,11,9,27,10,0
,,,관할시도외_기타,51,54,52,35,24,23,48,96,35,50,57,115,34,22
,수영구,,합계,610,386,303,278,156,160,436,594,287,305,448,679,238,95
,,,관할시군구내,189,153,112,100,64,67,166,239,114,130,175,268,111,43
,,,관할시도내,269,145,145,122,74,67,195,265,132,133,188,317,86,30
,,,관할시도외_서울,19,17,8,9,5,7,21,27,8,7,12,16,6,4
,,,관할시도외_기타,133,71,38,47,13,19,54,63,33,35,73,78,35,18
,사상구,,합계,159,175,226,200,172,168,245,325,219,201,259,620,961,231
,,,관할시군구내,103,117,130,118,116,109,136,167,115,108,139,280,420,116
,,,관할시도내,37,34,69,54,39,40,76,108,70,65,94,261,413,89
,,,관할시도외_서울,3,1,3,3,2,3,3,6,3,1,4,8,13,5
,,,관할시도외_기타,16,23,24,25,15,16,30,44,31,27,22,71,115,21
,기장군,,합계,238,199,169,163,150,262,228,329,194,258,279,797,613,361
,,,관할시군구내,141,119,110,100,88,181,147,211,107,148,157,425,321,175
,,,관할시도내,68,53,33,38,43,47,54,77,57,68,75,216,167,108
,,,관할시도외_서울,4,2,4,1,1,1,2,0,0,1,3,8,13,8
,,,관할시도외_기타,25,25,22,24,18,33,25,41,30,41,44,148,112,70
대구,,,합계,4020,3855,4038,3473,2053,2868,4037,5850,3669,4209,4581,6403,6359,2099
,,,관할시군구내,2364,2183,2268,1594,1237,1760,2360,3452,2104,2398,2650,3399,3190,1044
,,,관할시도내,1097,1118,1142,746,594,722,1122,1549,1083,1256,1318,1995,2027,647
,,,관할시도외_서울,48,41,48,25,16,68,89,116,38,58,43,80,90,34
